id;telephone;email;boite_postale;localisation
1;0590948148;tienne_Roger@yahoo.fr;Iran synthesizing payment;Cambridgeshire payment
2;+33 140750898;Audran48@gmail.com;Stagiaire;multi-byte copying Chair
3;0701091220;Edgard.Garcia1@gmail.com;Soft;partnerships
4;+33 527282493;Ombline_Francois7@hotmail.fr;capacitor Tuvalu convergence;robust Garden Jewelery
5;0742994358;Maxime.Laurent@hotmail.fr;Pastourelle;a
6;+33 451607869;Guilhemine.Barre23@gmail.com;backing;deliverables
7;0493454538;Cdric.Morin53@yahoo.fr;Organized RAM;invoice Gorgeous fresh-thinking
8;0167027483;Adam77@hotmail.fr;Manager;withdrawal Auvergne Argentine
9;0115867106;Arthur.Gerard16@hotmail.fr;Avon b matrix;Loan SCSI Administrateur
10;+33 245372186;Bruno_Menard68@gmail.com;Auto;Frozen
